UID,Inf,Name,DoB,Nat,Division,Club,Based,Preferred Foot,Right Foot,Left Foot,Position,Height,Weight,Age,Transfer Value,Wage,AT Apps,AT Gls,Team,Caps,Yth Apps,Style,Rc Injury,Best Role,Best Duty,Best Pos,Acc,Aer,Agg,Agi,Ant,Bal,Bra,Cmd,Com,Cmp,Cnt,Cor,Cro,Dec,Det,Dri,Ecc,Fin,Fir,Fla,Fre,Han,Hea,Jum,Kic,Ldr,Lon,L Th,Mar,Nat .1,OtB,1v1,Pac,Pas,Pen,Pos,Pun,Ref,TRO,Sta,Str,Tck,Tea,Tec,Thr,Vis,Wor,Name_Norm
18004457,     , Kevin De Bruyne              , 28/6/1991 (30 years old)  , BEL , English Premier Division                          , Man City               , England (Premier Division)            , Either         , Very Strong   , Strong        ," M (RLC), AM (C)                  ", 181 cm , 68 kg  ,30, 鈧?06M - 鈧?24M   ," 鈧?,709,000 p/m ",392,96, Main ,91,2, Creative     , -                          , Mezzala                 , Attack    , M (C)    ,15,2,12,13,14,14,13,2,3,15,15,14,19,18,17,15,2,16,16,16,17,2,6,10,1,13,17,7,9,16,14,4,14,18,16,11,2,3,1,17,13,9,14,18,3,20,15, Kevin De Bruyne              
29179241,     , Erling Haaland               , 21/7/2000 (21 years old)  , NOR , English Premier Division                          , Man City               , England (Premier Division)            , Left           , Reasonable    , Very Strong   , ST (C)                           , 195 cm , 88 kg  ,21, 鈧?54M - 鈧?82M   ," 鈧?,709,000 p/m ",152,111, Main ,21,3, Physical     , -                          , Advanced Forward        , Attack    , ST (C)   ,17,1,13,16,18,17,15,2,1,18,15,7,10,13,20,14,1,18,16,16,13,3,15,18,3,13,13,5,6,19,18,4,19,13,17,7,3,1,1,14,17,7,13,15,3,14,13, Erling Haaland               
98028755,     , Mohamed Salah                , 15/6/1992 (30 years old)  , EGY , English Premier Division                          , Liverpool              , England (Premier Division)            , Left           , Weak          , Very Strong   ," AM (RL), ST (C)                  ", 175 cm , 72 kg  ,30, Not for Sale    ," 鈧?,759,000 p/m ",360,174, Main ,85,11, Physical     , -                          , Inverted Winger         , Support   , AM (R)   ,18,2,11,16,16,18,11,1,1,15,15,12,14,15,18,17,1,17,17,15,12,1,10,8,1,11,13,6,7,17,18,3,18,15,17,9,2,2,3,15,15,7,15,17,2,17,16, Mohamed Salah                
28049320,     , Harry Kane                   , 28/7/1993 (28 years old)  , ENG , English Premier Division                          , Tottenham              , England (Premier Division)            , Either         , Very Strong   , Very Strong   ," AM (C), ST (C)                   ", 188 cm , 86 kg  ,28, Not for Sale    ," 鈧?,005,000 p/m ",335,197, Main ,73,14, Technical    , -                          , Deep Lying Forward      , Support   , ST (C)   ,12,2,11,12,15,14,14,3,3,18,15,9,15,18,19,14,3,19,15,12,10,1,15,13,3,15,15,6,10,16,16,2,14,18,20,12,4,3,4,16,15,11,18,16,3,18,16, Harry Kane                   
55070299,     , Rúben Dias                   , 14/5/1997 (25 years old)  , POR , English Premier Division                          , Man City               , England (Premier Division)            , Right          , Very Strong   , Fairly Strong , D (C)                            , 186 cm , 83 kg  ,25, 鈧?12M - 鈧?24M   ," 鈧?80,000 p/m   ",207,12, Main ,37,4, Leader       , -                          , Wide Centre-Back        , Defend    , D (C)    ,13,2,16,13,17,12,18,3,2,15,16,4,11,15,18,12,3,6,13,8,5,3,15,16,2,17,4,5,17,18,8,1,13,14,8,17,2,3,1,18,16,18,16,13,4,13,17, Ruben Dias                   
55041632,     , Bernardo Silva               , 10/8/1994 (27 years old)  , POR , English Premier Division                          , Man City               , England (Premier Division)            , Left           , Weak          , Very Strong   , M/AM (RC)                        , 173 cm , 64 kg  ,27, 鈧?44M - 鈧?72M   ," 鈧?05,000 p/m   ",306,60, Main ,70,14, Creative     , Thigh strain               , Inverted Winger         , Support   , AM (R)   ,15,3,13,19,16,16,15,3,3,16,15,14,15,15,16,17,1,15,17,17,13,2,10,7,1,12,13,2,12,17,17,3,14,17,13,13,1,1,3,17,9,8,16,18,1,17,20, Bernardo Silva               
37024025,     , Virgil van Dijk              , 8/7/1991 (30 years old)   , NED , English Premier Division                          , Liverpool              , England (Premier Division)            , Right          , Very Strong   , Reasonable    , D (C)                            , 193 cm , 92 kg  ,30, 鈧?75M - 鈧?00M   ," 鈧?,206,000 p/m ",328,31, Main ,47,3, Technical    , -                          , Ball Playing Defender   , Defend    , D (C)    ,15,3,17,12,17,15,15,2,3,17,16,3,5,17,16,13,3,8,17,12,12,3,18,17,2,17,7,8,17,17,8,3,16,16,7,17,4,2,1,14,17,17,14,16,3,14,12, Virgil van Dijk              
55057659,     , Ederson                      , 17/8/1993 (28 years old)  , BRA , English Premier Division                          , Man City               , England (Premier Division)            , Left           , Reasonable    , Very Strong   , GK                               , 188 cm , 86 kg  ,28, 鈧?08M - 鈧?18M   ," 鈧?05,000 p/m   ",289, -      , Main ,18,1, Distributor  , -                          , Sweeper Keeper          , Support   , GK       ,14,13,12,13,17,13,18,16,13,20,16,3,3,15,16,11,15,3,14,3,8,16,9,13,20,7,12,3,3,15,15,13,13,18,12,13,6,14,17,14,13,1,14,17,17,17,13, Ederson                      
735216,     , Cristiano Ronaldo            , 5/2/1985 (37 years old)   , POR , English Premier Division                          , Man UFC                , England (Premier Division)            , Either         , Very Strong   , Strong        , ST (C)                           , 187 cm , 84 kg  ,37, 鈧?8.5M - 鈧?7M   ," 鈧?,413,000 p/m ",643,497, Main ,189,10, Intelligent  , -                          , Poacher                 , Attack    , ST (C)   ,12,1,6,10,18,13,12,3,2,15,14,10,11,12,20,11,1,19,15,17,10,1,19,17,1,18,15,5,3,16,17,3,13,13,19,2,3,3,1,13,15,2,5,15,1,11,7, Cristiano Ronaldo            
19058734, Inj , Alisson                      , 2/10/1992 (29 years old)  , BRA , English Premier Division                          , Liverpool              , England (Premier Division)            , Right          , Very Strong   , Reasonable    , GK                               , 191 cm , 91 kg  ,29, 鈧?89M - 鈧?47M   ," 鈧?55,000 p/m   ",217,1, Main ,55,5, Shot Stopper , -                          , Sweeper Keeper          , Support   , GK       ,13,15,12,16,17,16,14,13,14,17,15,1,1,16,19,10,12,2,15,13,2,16,7,13,15,11,2,3,2,17,11,17,13,14,5,18,14,17,16,12,15,2,11,14,14,11,17, Alisson                      
85085378, Inj , Aymeric Laporte              , 27/5/1994 (28 years old)  , ESP , English Premier Division                          , Man City               , England (Premier Division)            , Left           , Reasonable    , Very Strong   , D (C)                            , 191 cm , 85 kg  ,28, 鈧?17M - 鈧?48M   ," 鈧?53,000 p/m   ",310,17, Main ,15, -        , Technical    , -                          , Ball Playing Defender   , Defend    , D (C)    ,14,4,13,13,16,12,15,1,3,16,15,8,11,16,14,13,3,8,15,12,10,1,16,16,3,13,11,8,16,15,14,1,14,16,11,16,4,1,1,15,14,15,13,15,1,16,14, Aymeric Laporte              
92020288,     , Heung-Min Son                , 8/7/1992 (29 years old)   , KOR , English Premier Division                          , Tottenham              , England (Premier Division)            , Either         , Very Strong   , Very Strong   ," M/AM (L), ST (C)                 ", 183 cm , 77 kg  ,29, Not for Sale    ," 鈧?65,000 p/m   ",373,135, Main ,102, -        , Creative     , -                          , Inverted Winger         , Support   , AM (L)   ,16,2,8,14,15,12,6,2,2,17,11,14,14,14,14,16,2,18,13,13,10,1,8,10,2,13,16,6,5,16,18,3,16,13,9,7,1,2,3,16,10,6,14,17,1,12,17, Heung-Min Son                
67217524,     , Rodri                        , 22/6/1996 (26 years old)  , ESP , English Premier Division                          , Man City               , England (Premier Division)            , Right          , Very Strong   , Fairly Strong ," DM, M (C)                        ", 191 cm , 75 kg  ,26, 鈧?09M - 鈧?36M   ," 鈧?04,000 p/m   ",239,17, Main ,33,6, Intelligent  , -                          , Defensive Midfielder    , Support   , DM       ,14,2,13,13,18,12,15,1,3,17,16,7,8,18,13,13,3,9,15,9,8,4,13,17,2,11,14,8,12,16,13,3,13,15,8,17,3,3,1,17,16,17,16,14,2,14,16, Rodri                        
91003875,     , İlkay Gündogan               , 24/10/1990 (31 years old) , GER , English Premier Division                          , Man City               , England (Premier Division)            , Right          , Very Strong   , Fairly Strong ," DM, M/AM (C)                     ", 180 cm , 80 kg  ,31, 鈧?4M - 鈧?9M     ," 鈧?29,000 p/m   ",313,53,      ,59,8, Intelligent  , -                          , Advanced Playmaker      , Support   , M (C)    ,14,3,15,16,17,14,13,1,2,16,14,10,11,14,13,14,3,13,17,13,14,2,7,10,3,10,12,6,10,13,16,2,13,16,14,12,1,1,3,16,13,13,16,16,3,16,15, Ilkay Gundogan               
55041623,     , João Cancelo                 , 27/5/1994 (28 years old)  , POR , English Premier Division                          , Man City               , England (Premier Division)            , Right          , Very Strong   , Reasonable    ," D/WB (RL), M (R)                 ", 182 cm , 74 kg  ,28, 鈧?9M - 鈧?8M     ," 鈧?05,000 p/m   ",258,9, Main ,36,11, Creative     , -                          , Complete Wing-Back      , Support   , D (R)    ,16,1,12,16,14,14,12,1,3,12,12,12,16,15,13,16,3,11,15,17,12,3,10,11,2,7,12,12,9,15,14,2,16,16,11,13,1,1,2,14,12,13,13,17,1,16,14, Joao Cancelo                 
85121966,     , Édouard Mendy                , 1/3/1992 (30 years old)   , SEN , English Premier Division                          , Chelsea                , England (Premier Division)            , Right          , Very Strong   , Reasonable    , GK                               , 194 cm , 89 kg  ,30, 鈧?86M - 鈧?23M   ," 鈧?51,000 p/m   ",203, -      , Main ,25, -        , Shot Stopper , -                          , Sweeper Keeper          , Support   , GK       ,12,18,10,15,14,14,12,16,13,13,16,4,1,16,12,3,14,2,11,8,7,16,8,17,13,10,2,1,2,15,3,14,11,14,4,16,8,16,12,14,15,3,13,11,12,8,10, Edouard Mendy                
85075627,     , Raphaël Varane               , 25/4/1993 (29 years old)  , FRA , English Premier Division                          , Man UFC                , England (Premier Division)            , Right          , Very Strong   , Weak          , D (C)                            , 191 cm , 81 kg  ,29, 鈧?81M - 鈧?99M   ," 鈧?,759,000 p/m ",281,11, Main ,86,13, Physical     , -                          , Ball Playing Defender   , Defend    , D (C)    ,16,3,11,13,16,11,13,2,2,13,15,4,6,13,12,10,3,6,13,11,8,1,16,17,3,10,6,10,17,16,6,3,16,14,10,17,3,2,2,15,15,16,14,14,3,9,12, Raphael Varane               
85081880,     , N'Golo Kanté                 , 29/3/1991 (31 years old)  , FRA , English Premier Division                          , Chelsea                , England (Premier Division)            , Right          , Very Strong   , Weak          ," DM, M (C)                        ", 168 cm , 72 kg  ,31, 鈧?80M - 鈧?42M   ," 鈧?,458,000 p/m ",350,29, Main ,53, -        , Intelligent  , -                          , Ball Winning Midfielder , Defend    , M (C)    ,14,2,15,13,20,15,15,3,2,14,16,6,12,16,19,11,2,10,14,13,8,2,10,7,2,5,10,6,12,18,15,1,14,15,12,15,1,1,1,18,11,19,20,14,3,14,20, N'Golo Kante                 
67022040,     , Thiago                       , 11/4/1991 (31 years old)  , ESP , English Premier Division                          , Liverpool              , England (Premier Division)            , Right          , Very Strong   , Reasonable    ," DM, M/AM (C)                     ", 174 cm , 70 kg  ,31, Not for Sale    ," 鈧?,131,000 p/m ",317,28, Main ,46,21, Technical    , Torn knee ligaments        , Advanced Playmaker      , Support   , M (C)    ,14,2,14,17,16,15,12,2,3,17,14,13,14,15,15,17,3,9,18,18,12,1,10,10,1,11,12,5,12,12,15,3,11,18,12,13,3,2,1,14,9,15,15,18,2,18,15, Thiago                       
28108494,     , Phil Foden                   , 28/5/2000 (22 years old)  , ENG , English Premier Division                          , Man City               , England (Premier Division)            , Left           , Reasonable    , Very Strong   , AM (RLC)                         , 171 cm , 64 kg  ,22, 鈧?8M - 鈧?7M     ," 鈧?03,000 p/m   ",97,24, Main ,16,15, Creative     , -                          , Inverted Winger         , Support   , AM (R)   ,15,1,7,17,14,15,13,2,1,15,15,13,13,14,14,17,3,14,17,16,13,1,8,7,2,8,12,5,8,14,16,3,16,17,12,9,2,2,1,15,9,8,14,17,2,16,16, Phil Foden                   
19220266,     , Gabriel Jesus                , 3/4/1997 (25 years old)   , BRA , English Premier Division                          , Arsenal                , England (Premier Division)            , Right          , Very Strong   , Fairly Strong ," AM (RL), ST (C)                  ", 175 cm , 73 kg  ,25, 鈧?94M - 鈧?32M   ," 鈧?03,000 p/m   ",206,74, Main ,56,10, Intelligent  , -                          , Advanced Forward        , Attack    , ST (C)   ,15,3,12,16,15,15,13,1,2,15,14,7,12,15,13,16,1,16,15,16,11,2,15,10,2,8,12,4,6,15,16,3,15,14,13,7,2,2,1,14,13,8,15,16,1,14,16, Gabriel Jesus                
43124203,     , Bruno Fernandes              , 8/9/1994 (27 years old)   , POR , English Premier Division                          , Man UFC                , England (Premier Division)            , Right          , Very Strong   , Fairly Strong , M/AM (C)                         , 179 cm , 69 kg  ,27, 鈧?41M - 鈧?65M   ," 鈧?,257,000 p/m ",307,95, Main ,46,17, Leader       , -                          , Attacking Midfielder    , Support   , AM (C)   ,13,3,18,15,16,13,17,3,2,15,14,16,16,10,17,11,3,15,17,17,16,2,10,9,3,17,16,4,3,18,17,2,14,17,19,6,2,3,3,19,10,8,15,17,1,18,15, Bruno Fernandes              
8833628,     , Thiago Silva                 , 22/9/1984 (37 years old)  , BRA , English Premier Division                          , Chelsea                , England (Premier Division)            , Right          , Very Strong   , Weak          , D (C)                            , 183 cm , 79 kg  ,37, 鈧?1M - 鈧?2M     ," 鈧?98,000 p/m   ",475,28, Main ,107,4, Intelligent  , -                          , Ball Playing Defender   , Defend    , D (C)    ,10,3,17,12,17,16,15,3,1,20,17,4,5,17,15,9,4,7,14,8,8,1,17,13,3,19,7,7,17,14,8,1,10,13,14,19,3,3,2,14,14,16,15,13,2,13,14, Thiago Silva                 
28054109,     , Raheem Sterling              , 8/12/1994 (27 years old)  , ENG , English Premier Division                          , Chelsea                , England (Premier Division)            , Right          , Very Strong   , Weak          , M/AM (RL)                        , 170 cm , 69 kg  ,27, 鈧?10M - 鈧?38M   ," 鈧?,759,000 p/m ",320,109, Main ,77,8, Physical     , Pulled back muscle         , Inverted Winger         , Attack    , AM (L)   ,18,1,12,18,18,14,11,2,2,12,13,8,13,13,13,15,4,13,13,14,10,3,12,8,1,12,12,5,7,20,20,1,17,13,8,9,3,4,3,18,12,8,14,13,2,13,15, Raheem Sterling              
53095137,     , Martin Ødegaard              , 17/12/1998 (23 years old) , NOR , English Premier Division                          , Arsenal                , England (Premier Division)            , Left           , Reasonable    , Very Strong   , M/AM (C)                         , 178 cm , 68 kg  ,23, 鈧?74M - 鈧?98M   ," 鈧?78,000 p/m   ",239,32, Main ,43,18, Intelligent  , -                          , Advanced Playmaker      , Support   , AM (C)   ,14,2,7,16,18,15,10,1,4,15,12,14,14,16,15,16,3,12,17,16,15,2,9,9,2,8,13,7,10,13,16,1,13,16,10,9,3,1,3,15,11,8,17,17,1,17,14, Martin Odegaard              
19183676,     , Fabinho                      , 23/10/1993 (28 years old) , BRA , English Premier Division                          , Liverpool              , England (Premier Division)            , Right Only     , Very Strong   , Weak          ," D (RC), DM, M (C)                ", 188 cm , 78 kg  ,28, 鈧?16M - 鈧?64M   ," 鈧?05,000 p/m   ",313,33, Main ,27,13, Technical    , -                          , Defensive Midfielder    , Support   , DM       ,14,1,16,14,16,14,15,3,2,15,15,6,11,16,15,13,2,9,16,11,7,1,14,14,1,10,12,8,15,16,12,3,14,15,15,16,2,1,3,15,14,16,17,15,3,13,15, Fabinho                      
85078058,     , Riyad Mahrez                 , 21/2/1991 (31 years old)  , ALG , English Premier Division                          , Man City               , England (Premier Division)            , Left           , Reasonable    , Very Strong   ," M (R), AM (RL)                   ", 179 cm , 67 kg  ,31, 鈧?2M - 鈧?5M     ," 鈧?,005,000 p/m ",360,87, Main ,75, -        , Technical    , -                          , Inside Forward          , Support   , AM (R)   ,15,2,6,17,13,15,7,3,3,16,13,14,16,13,13,17,2,16,20,17,14,3,8,9,1,5,13,4,5,14,15,2,14,16,13,5,1,2,3,14,8,8,13,17,3,17,13, Riyad Mahrez                 
19061518,     , Casemiro                     , 23/2/1992 (30 years old)  , BRA , English Premier Division                          , Man UFC                , England (Premier Division)            , Right          , Very Strong   , Fairly Strong ," DM, M (C)                        ", 185 cm , 84 kg  ,30, 鈧?10M - 鈧?65M   ," 鈧?,508,000 p/m ",325,34, Main ,63,15, Leader       , -                          , Ball Winning Midfielder , Defend    , DM       ,11,2,18,12,14,15,16,2,2,15,14,10,11,15,17,12,1,11,14,12,10,3,13,13,2,15,14,10,14,15,12,2,12,14,11,18,1,2,1,17,17,15,17,14,3,12,18, Casemiro                     
19068857,     , Roberto Firmino              , 2/10/1991 (30 years old)  , BRA , English Premier Division                          , Liverpool              , England (Premier Division)            , Right          , Very Strong   , Weak          ," AM (RLC), ST (C)                 ", 181 cm , 76 kg  ,30, 鈧?8M - 鈧?14M    ," 鈧?05,000 p/m   ",409,117, Main ,55, -        , Intelligent  , -                          , Deep Lying Forward      , Support   , ST (C)   ,13,2,13,15,15,17,11,1,2,17,13,8,12,13,13,14,1,11,17,16,8,3,12,10,2,8,10,7,13,17,15,1,13,13,12,13,1,1,2,16,14,12,18,18,1,16,16, Roberto Firmino              
